Course,Location,CRN,Course Title,Instructor,Days,Start Time,End Time,Est Enroll,Act Enroll
FYS 10101 16,1005 210,14069,Moreau First Year Experience,"Corpora,Joseph",R,2:00 PM,2:50 PM,19,19
FYS 10101 49,1005 210,14081,Moreau First Year Experience,"Helm,Theodore",M,2:00 PM,2:50 PM,19,19
AMST 13184 02,1008 303,20403,History University Seminar,"Garibaldi,Korey",TR,12:30 PM,1:45 PM,16,16
HIST 30877 01,1008 303,20756,Cities & Suburbs Postwar Ameri,"Koeth,Stephen",TR,5:05 PM,6:30 PM,25,23
THEO 60206 01,1008 303,19861,Catholic Reform,"Lehner,Ulrich",MW,11:00 AM,12:15 PM,27,16
THEO 60884 01,1008 303,19854,The Trinity,"Anatolios,Khaled",TR,3:30 PM,4:45 PM,27,15
THEO 83133 01,1008 303,19852,Elementary Ugaritic,"Page,Hugh",F,9:00 AM,11:45 AM,10,2
FYS 10101 103,1008 404,14164,Moreau First Year Experience,"Kroll,Linda",W,8:20 AM,9:10 AM,19,19
FYS 10101 26,1008 404,14080,Moreau First Year Experience,"Reyes,Rudy",M,8:20 AM,9:10 AM,19,17
CBE 60731 01,1015 107,20014,Nanomedicine,"Wang,Yichun",TR,2:00 PM,3:15 PM,20,3
EE 60673 01,1015 107,16912,Advanced Robotics,"Lin,Hai",TR,12:30 PM,1:45 PM,20,2
EE 67032 01,1015 107,16914,Physics of Computation,"Porod,Wolfgang",TR,3:30 PM,4:45 PM,20,3
FYS 10101 06,1015 107,13998,Moreau First Year Experience,"Comuniello,Michael",M,8:20 AM,9:10 AM,19,18
FYS 10101 126,1015 107,15956,Moreau First Year Experience,"Madden,Judith",M,9:25 AM,10:15 AM,19,18
FYS 10101 72,1015 107,14073,Moreau First Year Experience,"Rehagen,Christopher",R,11:00 AM,11:50 AM,19,19
NSBH 46501 01,1015 107,15622,Sr. Spring NSBH Honors Seminar,"Boyd,Sunny",F,9:25 AM,10:15 AM,14,12
ROIT 10101 05,1015 107,13834,Beginning Italian I,"Serafini,Tiziana",MWF,11:30 AM,12:20 PM,19,18
ROIT 10101 07,1015 107,16472,Beginning Italian I,"Serafini,Tiziana",MWF,2:00 PM,2:50 PM,19,14
ROIT 10101 08,1015 107,20183,Beginning Italian I,"Serafini,Tiziana",MWF,10:30 AM,11:20 AM,18,18
CHEM 90627 01,1015 108,15904,Special Topics in Biochemistry,"White,Katharine",MW,9:30 AM,10:45 AM,15,10
CSE 40693 01,1015 108,18117,Modern Web Development,"Wicks,Michael",TR,3:30 PM,4:45 PM,24,24
ESS 43640 01,1015 108,11651,Seminar Educational Research,"Christensen,Andrea",TR,2:00 PM,3:15 PM,10,10
FYS 10101 08,1015 108,13993,Moreau First Year Experience,"Ball,Michael",R,11:00 AM,11:50 AM,19,19
FYS 10101 110,1015 108,14416,Moreau First Year Experience,"Presler,Daniel",T,12:30 PM,1:20 PM,19,19
FYS 10101 43,1015 108,14036,Moreau First Year Experience,"Bronson,Catherine",M,8:20 AM,9:10 AM,19,18
FYS 10101 81,1015 108,13990,Moreau First Year Experience,"Diss,Brian",W,8:20 AM,9:10 AM,19,19
PHIL 10103 01,1015 108,16282,Intro to Phil: Phil & Science,"Azhar,Feraz",TR,9:30 AM,10:45 AM,22,22
ROSP 20201 09,1015 108,10066,Intermediate Spanish I,"Mangione-Lora,Elena",MWF,12:50 PM,1:40 PM,18,15
ROSP 20201 11,1015 108,14888,Intermediate Spanish I,"Mangione-Lora,Elena",MWF,3:30 PM,4:20 PM,18,12
ROSP 20202 03,1015 108,10072,Intermediate Spanish II,"Mangione-Lora,Elena",MWF,11:30 AM,12:20 PM,19,17
ROSP 20202 05,1015 108,11521,Intermediate Spanish II,"Mangione-Lora,Elena",MWF,2:00 PM,2:50 PM,19,17
ACMS 30530 01,1020 104,12657,Introduction to Probability,"Leib,Norman",MW,2:00 PM,3:15 PM,70,63
AME 30314 01,1020 104,11451,"Dif Eqs,Vibrations&Controls I","Goodwine,John",MWF,9:25 AM,10:15 AM,72,71
BIOS 10169 03,1020 104,16587,Biology I: Big Questions Mod 1,"Schafer,Zachary",MWF,12:50 PM,1:40 PM,75,73
