"Timestamp,""OccSensor_Log"",""SpaceTemp_Log"""
"10/28/2021 3:15:00 PM,""1.00"",""74.21"""
"10/28/2021 3:00:00 PM,""1.00"",""74.68"""
"10/28/2021 2:45:00 PM,""1.00"",""75.00"""
"10/28/2021 2:30:00 PM,""1.00"",""75.11"""
"10/28/2021 2:15:00 PM,""1.00"",""74.88"""
"10/28/2021 2:00:00 PM,""1.00"",""74.57"""
"10/28/2021 1:45:00 PM,""1.00"",""75.22"""
"10/28/2021 1:30:00 PM,""1.00"",""75.11"""
"10/28/2021 1:15:00 PM,""1.00"",""75.18"""
"10/28/2021 1:00:00 PM,""1.00"",""75.24"""
"10/28/2021 12:45:00 PM,""1.00"",""74.95"""
"10/28/2021 12:30:00 PM,""1.00"",""74.44"""
"10/28/2021 12:15:00 PM,""0.00"",""73.89"""
"10/28/2021 12:00:00 PM,""1.00"",""74.21"""
"10/28/2021 11:45:00 AM,""1.00"",""74.75"""
"10/28/2021 11:30:00 AM,""1.00"",""74.68"""
"10/28/2021 11:15:00 AM,""1.00"",""74.37"""
"10/28/2021 11:00:00 AM,""1.00"",""74.17"""
"10/28/2021 10:45:00 AM,""1.00"",""74.79"""
"10/28/2021 10:30:00 AM,""1.00"",""74.66"""
"10/28/2021 10:15:00 AM,""1.00"",""74.41"""
"10/28/2021 10:00:00 AM,""1.00"",""74.14"""
"10/28/2021 9:45:00 AM,""1.00"",""73.60"""
"10/28/2021 9:30:00 AM,""1.00"",""72.90"""
"10/28/2021 9:15:00 AM,""0.00"",""72.54"""
"10/28/2021 9:00:00 AM,""0.00"",""72.52"""
"10/28/2021 8:45:00 AM,""0.00"",""72.59"""
"10/28/2021 8:30:00 AM,""0.00"",""72.63"""
"10/28/2021 8:15:00 AM,""0.00"",""72.61"""
"10/28/2021 8:00:00 AM,""0.00"",""72.52"""
"10/28/2021 7:45:00 AM,""0.00"",""72.52"""
"10/28/2021 7:30:00 AM,""0.00"",""72.55"""
"10/28/2021 7:15:00 AM,""0.00"",""72.61"""
"10/28/2021 7:00:00 AM,""0.00"",""72.64"""
"10/28/2021 6:45:00 AM,""0.00"",""72.59"""
"10/28/2021 6:30:00 AM,""0.00"",""72.63"""
"10/28/2021 6:15:00 AM,""0.00"",""72.63"""
"10/28/2021 6:00:00 AM,""0.00"",""72.64"""
"10/28/2021 5:45:00 AM,""0.00"",""72.68"""
"10/28/2021 5:30:00 AM,""0.00"",""72.72"""
"10/28/2021 5:15:00 AM,""0.00"",""72.73"""
"10/28/2021 5:00:00 AM,""0.00"",""72.66"""
"10/28/2021 4:45:00 AM,""0.00"",""72.54"""
"10/28/2021 4:30:00 AM,""0.00"",""72.45"""
"10/28/2021 4:15:00 AM,""0.00"",""72.28"""
"10/28/2021 4:00:00 AM,""0.00"",""73.31"""
"10/28/2021 3:45:00 AM,""0.00"",""73.33"""
"10/28/2021 3:30:00 AM,""0.00"",""73.33"""
"10/28/2021 3:15:00 AM,""0.00"",""73.36"""
"10/28/2021 3:00:00 AM,""0.00"",""73.40"""
"10/28/2021 2:45:00 AM,""1.00"",""73.49"""
"10/28/2021 2:30:00 AM,""0.00"",""73.51"""
"10/28/2021 2:15:00 AM,""1.00"",""73.54"""
"10/28/2021 2:00:00 AM,""1.00"",""73.33"""
"10/28/2021 1:45:00 AM,""0.00"",""73.15"""
"10/28/2021 1:30:00 AM,""0.00"",""73.18"""
"10/28/2021 1:15:00 AM,""0.00"",""73.18"""
"10/28/2021 1:00:00 AM,""0.00"",""73.11"""
"10/28/2021 12:45:00 AM,""0.00"",""73.09"""
"10/28/2021 12:30:00 AM,""0.00"",""73.11"""
"10/28/2021 12:15:00 AM,""0.00"",""73.09"""
"10/28/2021 12:00:00 AM,""0.00"",""73.15"""
"10/27/2021 11:45:00 PM,""0.00"",""73.13"""
"10/27/2021 11:30:00 PM,""0.00"",""73.15"""
"10/27/2021 11:15:00 PM,""0.00"",""73.18"""
"10/27/2021 11:00:00 PM,""0.00"",""73.29"""
"10/27/2021 10:45:00 PM,""0.00"",""73.38"""
"10/27/2021 10:30:00 PM,""0.00"",""73.47"""
"10/27/2021 10:15:00 PM,""0.00"",""73.49"""
"10/27/2021 10:00:00 PM,""0.00"",""73.42"""
"10/27/2021 9:45:00 PM,""0.00"",""73.45"""
"10/27/2021 9:30:00 PM,""0.00"",""73.45"""
"10/27/2021 9:15:00 PM,""0.00"",""73.44"""
"10/27/2021 9:00:00 PM,""0.00"",""73.40"""
"10/27/2021 8:45:00 PM,""0.00"",""73.13"""
